chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
James Durie,The Master of Ballantrae,the_master_of_ballantrae.book,,the Master/The Master,1,2,1,1,7,1,4,6.5,7,1.496001277,-1.691931664,-0.519299483,1.527566197,1.533930585
The White Queen,Through the Looking Glass,through_the_looking_glass.book,,the White Queen,2,1,2,1,3.5,6,1.5,1.5,5,-0.470660681,0.91603197,-1.951261367,-1.607429717,0.318387185
The Red Queen,Through the Looking Glass,through_the_looking_glass.book,,the Red Queen,2,1,2,1,6,1,7,6.5,2,0.93409786,-1.691931664,1.199054778,1.527566197,-1.504927917
The White King,Through the Looking Glass,through_the_looking_glass.book,,the White King,1,1,2,1,3.5,5,4,2,5,-0.470660681,0.394439243,-0.519299483,-1.293930126,0.318387185
The White Knight,Through the Looking Glass,through_the_looking_glass.book,,the White Knight,1,1,2,1,4.1,6.4,2.7,4.4,6,-0.133518632,1.124669061,-1.263919663,0.210867913,0.926158885
Tweedledum and Tweedledee,Through the Looking Glass,through_the_looking_glass.book,,Tweedledee/Tweedledum,1,1,2,1,5.75,1.25,3.25,2,3.5,0.793622006,-1.561533482,-0.948888048,-1.293930126,-0.593270366
Humpty Dumpty,Through the Looking Glass,through_the_looking_glass.book,,Humpty,1,2,2,1,6.5,1.25,6.25,5.75,3.5,1.215049568,-1.561533482,0.769466213,1.05731681,-0.593270366
Tom Brown,Tom Brown's Schooldays,tom_browns_schooldays.book,,Tom/Tommy,1,1,1,1,7,6,1.5,6.5,3.5,1.496001277,0.91603197,-1.951261367,1.527566197,-0.593270366
George Arthur,Tom Brown's Schooldays,tom_browns_schooldays.book,,George/Arthur,1,1,2,1,1,6.5,7,4.5,6,-1.875419223,1.176828333,1.199054778,0.273567831,0.926158885
Edward (Teddy) Ponderevo,Tono Bungay,tono_bungay.book,,Edward/Mr. Ponderevo,1,1,2,1,7,4,4,3,7,1.496001277,-0.127153484,-0.519299483,-0.666930943,1.533930585
