chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Alice,Alice's Adventures in Wonderland,alice_in_wonderland.book,,Alice,2,1,1,1,5.138888889,4.527777778,4.610833333,4.416666667,6.027777778,0.450236585,0.148131567,-0.169423463,0.221317899,0.943041432
The Caterpillar,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the Caterpillar,1,2,2,1,3,2.333333333,6.166666667,4.5,4.333333333,-0.75161239,-0.996474695,0.72173415,0.273567831,-0.086793949
The Cheshire Cat,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the Cat/Cheshire Cat,1,1,2,1,6,2.714285714,3.642857143,4.5,6.214285714,0.93409786,-0.797772704,-0.723865467,0.273567831,1.056395678
The Duchess,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the Duchess,2,2,2,1,6,1,1,1.5,4.5,0.93409786,-1.691931664,-2.237653744,-1.607429717,0.014501334
The King of Hearts,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the King,1,2,2,1,2.5,5,3.5,2.5,2,-1.032564098,0.394439243,-0.80569186,-0.980430534,-1.504927917
The Mad Hatter,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the Hatter,1,1,1,1,5.5,3.25,1.25,3.25,4,0.653146152,-0.518348029,-2.094457556,-0.510181147,-0.289384516
The March Hare,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the March Hare,1,1,2,1,5.5,1,1.5,2,6,0.653146152,-1.691931664,-1.951261367,-1.293930126,0.926158885
The Queen of Hearts,Alice's Adventures in Wonderland,alice_in_wonderland.book,,Queen of Hearts/the Queen,2,2,1,1,6.5,1.1,2.2,1.4,2.9,1.215049568,-1.639772391,-1.55031204,-1.670129635,-0.957933386
The White Rabbit,Alice's Adventures in Wonderland,alice_in_wonderland.book,,the Rabbit/the White Rabbit,1,1,2,1,5.415833333,2.5,4.25,1.333333333,3.833333333,0.605852614,-0.909542574,-0.376103295,-1.711929581,-0.390679799
Alton Locke,Alton_Locke,alton_locke.book,,Alton/I/Alton Locke,1,1,1,1,2.5,5.5,6,3,6,-1.032564098,0.655235607,0.626270024,-0.666930943,0.926158885
Anna Tellwright,Anna_of_the_Five_Towns,anna_of_the_five_towns.book,-,Anna/Miss Anna,2,1,1,1,1,6.5,6.5,5,5,-1.875419223,1.176828333,0.912662401,0.587067423,0.318387185
The Reverend Micah Balwhidder,Annals of the Parish ,annals_of_the_parish.book,,I,1,1,1,1,4,4.5,6.5,4,2.5,-0.189708973,0.13364288,0.912662401,-0.03993176,-1.201042066
Lydia Gwilt,Armadale,armadale.book,,Miss Gwilt/MISS GWILT/Lydia,2,2,1,1,5.166666667,2.666666667,6.166666667,3.333333333,6.166666667,0.465845013,-0.822610453,0.72173415,-0.457931215,1.027454168
Ozias Midwinter,Armadale,armadale.book,,Mr. Midwinter/Ozias,1,1,2,1,2,6.5,6.5,3,5.5,-1.313515806,1.176828333,0.912662401,-0.666930943,0.622273035
Stephen Hargraves,Aurora Floyd,aurora_floyd.book,,Stephen/Steeve/Mr. Hargraves,1,2,1,2,6,1,5,2,2.5,0.93409786,-1.691931664,0.053485271,-1.293930126,-1.201042066
La Signora Madeline Vesey Neroni,Barchester Towers,barchester_towers.book,,Madeline,2,2,1,1,6.75,2.5,4.5,5.25,6.5,1.355525423,-0.909542574,-0.232907106,0.743817218,1.230044735
Mrs. Proudie,Barchester Towers,barchester_towers.book,,Mrs. Proudie,2,2,1,1,5.5,1.75,5.75,2,3,0.653146152,-1.300737119,0.483073836,-1.293930126,-0.897156216
The Reverend Obadiah Slope,Barchester Towers,barchester_towers.book,,Obadiah/Mr. Slope,1,2,1,1,6.666666667,1.333333333,5.333333333,3.833333333,3.333333333,1.308700138,-1.518067422,0.244413522,-0.144431624,-0.694565649
The Reverend Theophilus Grantly,Barchester Towers,barchester_towers.book,,Dr. Grantly/Archdeason/archdeacon,1,1,2,1,6,2.5,6.25,1.5,2.25,0.93409786,-0.909542574,0.769466213,-1.607429717,-1.352984991
John Chester,Barnaby Rudge,barnaby_rudge.book,,John Chester/Esquire/M.P.,1,2,1,1,3,2,7,7,5,-0.75161239,-1.170338937,1.199054778,1.841065788,0.318387185
Belinda,Belinda,belinda.book,,Belinda/Miss Portman,2,1,1,2,3,6.5,7,5,4.5,-0.75161239,1.176828333,1.199054778,0.587067423,0.014501334
Lady Delacour,Belinda ,belinda.book,,Lady Delacour,2,1,2,2,7,2,7,3.5,7,1.496001277,-1.170338937,1.199054778,-0.353431352,1.533930585
Lady Honoria Dedlock,Bleak House,bleak_house.book,,Lady Dedlock,2,1,2,1,1.333333333,5,6.333333333,5.5,4,-1.688118084,0.394439243,0.817198275,0.900567014,-0.289384516
Miss Flite,Bleak House,bleak_house.book,,Miss Flite,2,1,2,1,1,7,3,1.5,3.5,-1.875419223,1.437624697,-1.092084237,-1.607429717,-0.593270366
