chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
FrederickLawrence,,1,1,2,2,4,6.5,3,4.5,6,-0.189708973,1.176828333,-1.092084237,0.273567831,0.926158885
FrederickWinterbourne,,1,1,2,1,2.5,2,6.5,6.5,1.5,-1.032564098,-1.170338937,0.912662401,1.527566197,-1.808813767
FredVincy,,1,1,2,2,6,5.5,1,3,5.5,0.93409786,0.655235607,-2.237653744,-0.666930943,0.622273035
GabrielBetteredge,,1,1,2,1,5.25,5.25,6.75,4,2,0.512670298,0.524837425,1.055858589,-0.03993176,-1.504927917
GabrielJohnUtterson,,1,1,1,1,2.5,5,6,6,2,-1.032564098,0.394439243,0.626270024,1.214066605,-1.504927917
GabrielOak,,1,1,1,1,3.625,6,6.875,6.12375,4.625,-0.400422754,0.91603197,1.127456684,1.291657754,0.090472797
Gagool,,2,2,1,1,4.5,1,5.5,3,2.75,0.091242735,-1.691931664,0.339877647,-0.666930943,-1.049099141
GeordieRobertson(alsoknownasGeorgeStaunt,,1,2,1,1,6.25,1,1.75,2.5,7,1.074573714,-1.691931664,-1.808065179,-0.980430534,1.533930585
GeorgeArthur,,1,1,2,1,1,6.5,7,4.5,6,-1.875419223,1.176828333,1.199054778,0.273567831,0.926158885
GeorgeEmerson,,1,1,2,1,4.75,5.25,3.75,3.75,7,0.231718589,0.524837425,-0.662495672,-0.196681556,1.533930585
GeorgeKnightley,,1,1,2,2,3.6,4.766666667,6.266333333,5.532666667,4.4,-0.41447034,0.272734274,0.778821697,0.921048987,-0.046275836
GeorgeOsborne,,1,1,2,1,6.5,3.5,2,4,3.5,1.215049568,-0.387949847,-1.66486899,-0.03993176,-0.593270366
GeorgePonderevo,,1,1,2,1,5.5,4.5,4.5,5,7,0.653146152,0.13364288,-0.232907106,0.587067423,1.533930585
GeorgeRouncewell,,1,1,1,1,3.5,6.5,5,4.5,5.5,-0.470660681,1.176828333,0.053485271,0.273567831,0.622273035
GeorgeTalboys,,1,,,2,1.5,5.5,1,3,1.5,-1.594467515,0.655235607,-2.237653744,-0.666930943,-1.808813767
GeorgeVavasor,,1,2,1,1,4.5,1.5,2,1.5,5,0.091242735,-1.431135301,-1.66486899,-1.607429717,0.318387185
GeraldScales,,1,2,1,1,7,2.495,2.495,2.5,6,1.496001277,-0.912150537,-1.381340537,-0.980430534,0.926158885
GerardEliason(alsoknownasBrotherClement),,1,1,1,1,4,5.5,6,2.5,6,-0.189708973,0.655235607,0.626270024,-0.980430534,0.926158885
GertrudeMorel,,2,1,2,1,5,1.5,6.5,2.5,6.5,0.372194443,-1.431135301,0.912662401,-0.980430534,1.230044735
GertrudeWentworth,,2,1,2,1,5.5,4,4,2.5,5.5,0.653146152,-0.127153484,-0.519299483,-0.980430534,0.622273035
GilbertMarkham,,1,,,2,3.5,5,4.25,3,5.25,-0.470660681,0.394439243,-0.376103295,-0.666930943,0.47033011
GinevraFanshawe,,2,1,2,2,6,1,3.5,2.5,4,0.93409786,-1.691931664,-0.80569186,-0.980430534,-0.289384516
Giovanelli,,1,1,2,1,7,6,5,5.5,4.5,1.496001277,0.91603197,0.053485271,0.900567014,0.014501334
GodfreyAblewhite,,1,2,1,1,5,3,2,1.5,1.5,0.372194443,-0.64874621,-1.66486899,-1.607429717,-1.808813767
GodwinPeak,,1,1,1,1,3.5,4,7,6.5,6.5,-0.470660681,-0.127153484,1.199054778,1.527566197,1.230044735
GracePoole,,2,1,2,2,1.833333333,2.5,3.166666667,5.166666667,2.166666667,-1.407166376,-0.909542574,-0.996620111,0.691567286,-1.403632633
Griffin,,1,1,1,1,3,1,4,1.5,6.5,-0.75161239,-1.691931664,-0.519299483,-1.607429717,1.230044735
GwendolenHarleth,,2,1,1,2,5.833333333,3.5,4.166666667,2.833333333,5.166666667,0.840447291,-0.387949847,-0.423835358,-0.771430807,0.419682468
HaretonEarnshaw,wuthering_heights,1,,,2,4,2.25,3,2.5,3.75,-0.189708973,-1.039940756,-1.092084237,-0.980430534,-0.441327441
HaroldSkimpole,,1,,,1,6.5,1,1,4,2,1.215049568,-1.691931664,-2.237653744,-0.03993176,-1.504927917
HarrietBeadle(alsoknownasTattycoram),,2,1,2,1,3.5,3,3,2,6,-0.470660681,-0.64874621,-1.092084237,-1.293930126,0.926158885
HarrietSmith,Emma,2,1,2,2,3.333333333,6.333333333,3,2.833333333,3.166666667,-0.564311251,1.089896212,-1.092084237,-0.771430807,-0.795860933
HarryConingsby,,1,1,1,1,6.5,6,7,5.5,7,1.215049568,0.91603197,1.199054778,0.900567014,1.533930585
HarveyCheyne,,1,1,1,1,4.5,2.5,4.5,2,4,0.091242735,-0.909542574,-0.232907106,-1.293930126,-0.289384516
Heathcliff,wuthering_heights,1,1,1,2,2.769038462,1.75,5.096153846,2.442307692,5.076923077,-0.881390467,-1.300737119,0.108560728,-1.016603564,0.365138854
HelenBurns,,2,1,2,2,1.166666667,6.166666667,5.5,6.833333333,5.666666667,-1.781768654,1.002964091,0.339877647,1.736565924,0.723568318
Helen Graham (Helen Huntingdon),The_Tenant_of_Wildfell_Hall,2,1,1,2,2.0625,4.375,6.8125,4,5.4375,-1.278396843,0.068443789,1.091657637,-0.03993176,0.584287303
HelenSchlegel,,2,1,2,1,6.5,5,3,2.666666667,6.666666667,1.215049568,0.394439243,-1.092084237,-0.875930671,1.331340018
HenryEsmond,,1,1,1,1,4.5,5,6.5,6,6,0.091242735,0.394439243,0.912662401,1.214066605,0.926158885
HenryPelham,,1,1,1,1,5.5,4,5.5,5,5,0.653146152,-0.127153484,0.339877647,0.587067423,0.318387185
